#,کد,نام ,گروه,زمان 1,زمان 2,استاد
 1,1126713,اصول مديريت,1,يکشنبه[9:15-7:45],سه شنبه[9:15-7:45],محدث خراساني، علي
 2,1126743,اصول حسابداري و هزينه,1,شنبه[9:15-7:45],دوشنبه[9:15-7:45],خليلي، عباس
 3,1128413,شبيه,1,يکشنبه[15-13:30],سه شنبه[15-13:30],محمدپور، عادل
 4,1129043,نظريه گراف,1,يکشنبه[12:15-10:45],سه شنبه[12:15-10:45],مفيدي، عليرضا
 5,1218103,مباني ماتريسها و جبر خطي,1,شنبه[9:15-7:45],دوشنبه[9:15-7:45],اتش افروز، منا
 6,1218103,مباني ماتريسها و جبر خطي,2,يکشنبه[12:15-10:45],سه شنبه[12:15-10:45],شجاعي، ندا
 7,1218123,مباني آناليز رياضي,1,شنبه[12:15-10:45],دوشنبه[12:15-10:45],رستمي، مهدي
 8,1218133,مباني آناليز عددي,1,شنبه[10:45-9:15],دوشنبه[10:45-9:15],شاکري، فاطمه
 9,1218133,مباني آناليز عددي,2,شنبه[18:30-17],دوشنبه[18:30-17],شمسي، مصطفي
 10,1218153,آناليز رياضي,1,شنبه[9:15-7:45],دوشنبه[9:15-7:45],رضي، نرجس
 11,1218163,مباني ترکيبيات,1,يکشنبه[10:45-9:15],سه شنبه[10:45-9:15],مفيدي، عليرضا
 12,1218173,مباني جبر,1,يکشنبه[15-13:30],سه شنبه[15-13:30],اخلاقي، زينب
 13,1218183,بهينه,1,يکشنبه[9:15-7:45],سه شنبه[9:15-7:45],هوشمند خليق، فرناز
 14,1218193,جبر خطي عددي,1,شنبه[16:30-15],دوشنبه[16:30-15],صلواتي، عرفان
 15,1218203,احتمال 1,1,يکشنبه[15-13:30],سه شنبه[15-13:30],نقشينه ارجمند، اميد
 16,1218223,معادلات ديفرانسيل با مشتقات جزئي,1,يکشنبه[10:45-9:15],سه شنبه[10:45-9:15],عباس زاده، مصطفي
 17,1218233,توپولوژي عمومي,1,يکشنبه[12:15-10:45],سه شنبه[12:15-10:45],هنري، بيژن
 18,1218243,مباني منطق و نظريه مجموعه,1,شنبه[12:15-10:45],دوشنبه[12:15-10:45],ديده ور، فرزاد
