شماره دانشجويي,نام درس,کد درس ,گروه درس ,
1,کارگاه کامپيوتر 1,1218281,3,
1,مباني کامپيوتر و برنامه,1236313,4,
2,کارگاه کامپيوتر 1,1218281,4,
2,مباني کامپيوتر و برنامه,1236313,3,
3,کارگاه کامپيوتر 1,1218281,1,
3,مباني کامپيوتر و برنامه,1236313,4,
4,کارگاه کامپيوتر 1,1218281,1,
4,مباني کامپيوتر و برنامه,1236313,4,
5,کارگاه کامپيوتر 1,1218281,2,
5,مباني کامپيوتر و برنامه,1236313,4,
6,کارگاه کامپيوتر 1,1218281,2,
6,مباني کامپيوتر و برنامه,1236313,2,
7,کارگاه کامپيوتر 1,1218281,2,
7,مباني کامپيوتر و برنامه,1236313,2,
8,کارگاه کامپيوتر 1,1218281,2,
8,مباني کامپيوتر و برنامه,1236313,2,
9,کارگاه کامپيوتر 1,1218281,2,
9,مباني کامپيوتر و برنامه,1236313,2,
10,کارگاه کامپيوتر 1,1218281,2,
10,مباني کامپيوتر و برنامه,1236313,2,
11,کارگاه کامپيوتر 1,1218281,2,
11,مباني کامپيوتر و برنامه,1236313,2,
12,کارگاه کامپيوتر 1,1218281,2,
12,مباني کامپيوتر و برنامه,1236313,2,
13,کارگاه کامپيوتر 1,1218281,2,
13,مباني کامپيوتر و برنامه,1236313,2,
14,کارگاه کامپيوتر 1,1218281,2,
14,مباني کامپيوتر و برنامه,1236313,2,
15,کارگاه کامپيوتر 1,1218281,2,
15,مباني کامپيوتر و برنامه,1236313,2,
16,کارگاه کامپيوتر 1,1218281,2,
16,مباني کامپيوتر و برنامه,1236313,2,
17,کارگاه کامپيوتر 1,1218281,2,
17,مباني کامپيوتر و برنامه,1236313,2,
18,کارگاه کامپيوتر 1,1218281,2,
18,مباني کامپيوتر و برنامه,1236313,2,
19,کارگاه کامپيوتر 1,1218281,2,
19,مباني کامپيوتر و برنامه,1236313,2,
20,کارگاه کامپيوتر 1,1218281,2,
20,مباني کامپيوتر و برنامه,1236313,2,
21,کارگاه کامپيوتر 1,1218281,2,
21,مباني کامپيوتر و برنامه,1236313,2,
22,کارگاه کامپيوتر 1,1218281,2,
22,مباني کامپيوتر و برنامه,1236313,2,
23,کارگاه کامپيوتر 1,1218281,2,
23,مباني کامپيوتر و برنامه,1236313,2,
24,کارگاه کامپيوتر 1,1218281,2,
24,مباني کامپيوتر و برنامه,1236313,2,
25,کارگاه کامپيوتر 1,1218281,2,
25,مباني کامپيوتر و برنامه,1236313,2,
26,کارگاه کامپيوتر 1,1218281,2,
26,مباني کامپيوتر و برنامه,1236313,2,
27,کارگاه کامپيوتر 1,1218281,2,
27,مباني کامپيوتر و برنامه,1236313,2,
28,کارگاه کامپيوتر 1,1218281,2,
28,برنامه سازي پيشرفته وکارگاه,1316234,2,
28,مباني آناليز عددي,1218133,1,
28,مباني احتمال,1319153,1,
28,مباني ترکيبيات,1218163,1,
28,مباني علوم رياضي,1236303,1,
29,کارگاه کامپيوتر 1,1218281,2,
29,مباني کامپيوتر و برنامه,1236313,2,
30,کارگاه کامپيوتر 1,1218281,4,
30,مباني کامپيوتر و برنامه,1236313,2,
31,کارگاه کامپيوتر 1,1218281,2,
31,مباني کامپيوتر و برنامه,1236313,2,
32,کارگاه کامپيوتر 1,1218281,2,
32,مباني کامپيوتر و برنامه,1236313,2,
